Language Name	Glottocode	Specific Dialect	Offending segments	ReasonsForInclusion	Language Family	Macroarea
Thaynakwithi	tyan1235	NA	ð	Voiced obs with no voiceless eq.	Pama-Nyungan	Australia
Mara	mara1385	NA	d ɡ	Voiced obs with no voiceless eq.	Mangarrayi-Maran	Australia
Tzeltal	tzel1254	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.	Mayan	North America
Yurok	yuro1248	NA	k̰ʷ t̠ʃ̰ t̰	Voiced obs with no voiceless eq.	Algic	North America
Gutob	bodo1267	Gutob (Koraput)	ɟ	Voiced obs with no voiceless eq.	Austroasiatic	Eurasia
Iyive	iyiv1238	NA	ɡʲ	Voiced obs with no voiceless eq.	Atlantic-Congo	Africa
Orokaiva	orok1269	NA	b dz dz	Has spirantizing plosives; Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
PHLONG	pwon1235	NA	ʝ	Voiced obs with no voiceless eq.	Sino-Tibetan	Eurasia
Texistepec Popoluca	texi1237	NA	dʲ	Voiced obs with no voiceless eq.	Mixe-Zoque	North America
TZELTAL	tzel1254	NA	ɡ	Voiced obs with no voiceless eq.	Mayan	North America
HINDI-URDU	hind1269	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Sindhi	sind1272	Vicholi	bɦ d̪ɦ ɖɦ ɟɦ ɡɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
Baruga	baru1269	NA	d̠ʒ	Voiced obs with no voiceless eq.	Nuclear Trans New Guinea	Papunesia
KHALKHA	halh1238	NA	d̠ʒ d̪z̪|dz d̪|d ɡ	Voiced obs with no voiceless eq.	Mongolic	Eurasia
French	stan1290	NA	ɦ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
BoRo	boro1277	NA	dz	Voiced obs with no voiceless eq.	Ta-Ne-Omotic	Africa
Dzuungoo	dzuu1241	NA	dz	Has spirantizing plosives	Mande	Africa
English (American)	stan1293	Western and Mid-Western US; Southern California	d ɡ	Voiced obs with no voiceless eq.	Indo-European	Eurasia
