LanguageName	Glottocode	SpecificDialect	OffendingSegments	ReasonsForInclusion
Thaynakwithi	tyan1235	NA	ð	Voiced obs with no voiceless eq.
Mara	mara1385	NA	d ɡ	Voiced obs with no voiceless eq.
Tzeltal	tzel1254	NA	d ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Yurok	yuro1248	NA	k̰ʷ t̠ʃ̰ t̰	Voiced obs with no voiceless eq.
Gutob	bodo1267	Gutob (Koraput)	ɟ	Voiced obs with no voiceless eq.
Iyive	iyiv1238	NA	ɡʲ	Voiced obs with no voiceless eq.
Orokaiva	orok1269	NA	b dz dz	Has spirantizing plosives; Voiced obs with no voiceless eq.
PHLONG	pwon1235	NA	ʝ	Voiced obs with no voiceless eq.
Texistepec Popoluca	texi1237	NA	dʲ	Voiced obs with no voiceless eq.
TZELTAL	tzel1254	NA	ɡ	Voiced obs with no voiceless eq.
HINDI-URDU	hind1269	NA	ɦ	Voiced obs with no voiceless eq.
Sindhi	sind1272	Vicholi	bɦ d̪ɦ ɖɦ ɟɦ ɡɦ	Voiced obs with no voiceless eq.
Baruga	baru1269	NA	d̠ʒ	Voiced obs with no voiceless eq.
KHALKHA	halh1238	NA	d̠ʒ d̪z̪|dz d̪|d ɡ	Voiced obs with no voiceless eq.
French	stan1290	NA	ɦ	Voiced obs with no voiceless eq.
BoRo	boro1277	NA	dz	Voiced obs with no voiceless eq.
Dzuungoo	dzuu1241	NA	dz	Has spirantizing plosives
English (American)	stan1293	Western and Mid-Western US; Southern California	d ɡ	Voiced obs with no voiceless eq.
Batak	bata1289	NA	d̠ʒ	Voiced obs with no voiceless eq.
Chrau	chra1242	NA	d	Voiced obs with no voiceless eq.
Low German	nort2627	Ukrainian	d ɡ	Voiced obs with no voiceless eq.
ISOKO	isok1239	NA	ɣʷ	Voiced obs with no voiceless eq.
PARAUK	para1301	NA	ʒ̤	Voiced obs with no voiceless eq.
KHARIA	khar1287	NA	ɦ	Voiced obs with no voiceless eq.
Betta Kurumba	bett1235	NA	d̠ʒ	Voiced obs with no voiceless eq.
WAPISHANA	wapi1253	NA	d ɡ	Voiced obs with no voiceless eq.
KWAKW'ALA	kwak1269	NA	d dz dɮ ɡʷ ɢ ɢʷ	Voiced obs with no voiceless eq.
Mwali	mwal1237	NA	d dz d̠ʒ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Ndebele	nort2795	NA	d d̠ʒ ɡ ɣ ʒ	Voiced obs with no voiceless eq.
Asmat	tamn1235	NA	ʝ	Voiced obs with no voiceless eq.
Burun	buru1301	Kurmuk	z	Voiced obs with no voiceless eq.
Mauritian Creole	mori1278	Ordinary'	d̪ t̰ t̰	Has spirantizing plosives; Voiced obs with no voiceless eq.
Arabic	stan1318	Safad, Beirut, Damascus, Kuwait	d̙ˤ d̪ d̪ʒ ð̪̙ˤ ɣ ʕ̙	Voiced obs with no voiceless eq.
Kota	kota1263	NA	d d̠ʒ d̠ʒ d̪ ɡ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Anyi	anyi1245	NA	ɡʷ	Voiced obs with no voiceless eq.
ADZERA	adze1240	NA	d̪z̪|dz d̪|d ɡ	Voiced obs with no voiceless eq.
Fulfulde (Cameroon)	adam1253	CAM	dː ʒ	Voiced obs with no voiceless eq.
KASHMIRI	kash1277	NA	ɦ	Voiced obs with no voiceless eq.
Kamasau	kama1367	NA	dz	Voiced obs with no voiceless eq.
Kenyang	keny1279	NA	d	Has spirantizing plosives
Mennonite Plautdietsch	plau1238	NA	ɡ	Voiced obs with no voiceless eq.
Bajau, West Coast; Land Bajaw; West Coast Bajao	west2560	NA	d̠ʒ	Voiced obs with no voiceless eq.
INUIT	kala1399	NA	ʁ ʝ	Voiced obs with no voiceless eq.
ACHUMAWI	achu1247	NA	d̠ʒ	Voiced obs with no voiceless eq.
Awngi	awng1244	NA	b d̠ʒ ʁ ʁʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Fwe	fwee1238	NA	dz dʷʲ	Voiced obs with no voiceless eq.
NANAI	nana1257	NA	ʝ	Voiced obs with no voiceless eq.
Hill Jarawa	izer1241	NA	b	Has spirantizing plosives
Barein (Komiya)	bare1279	Komiya	ɟː	Voiced obs with no voiceless eq.
Shabo	shab1252	NA	ɟ	Has spirantizing plosives
AHTNA	ahte1237	NA	d dz dɮ ɡ ɢ	Voiced obs with no voiceless eq.
Yakut	yaku1245	NA	ɡ	Has spirantizing plosives
Subiya	subi1246	NA	d̠ʒʷ	Voiced obs with no voiceless eq.
Yeyi	yeyi1239	NA	d dzʷ ɟʷ	Voiced obs with no voiceless eq.
Ke''o; Kéo'	keoo1238	Udiworowatu	ˀd	Voiced obs with no voiceless eq.
Adioukrou	adio1239	NA	dz	Voiced obs with no voiceless eq.
Kunimaipa	kuni1267	NA	b d̪ ɡ	Has spirantizing plosives
Nzema	nzim1238	NA	b ɡʷ	Has spirantizing plosives; Voiced obs with no voiceless eq.
English	stan1293	NA	d v ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
Mingrelian	ming1252	Mingrelian (Martvili)	d̪ ɡ	Voiced obs with no voiceless eq.
Meadow Mari	east2328	Meadow Mari (Joškar-Ola)	ð̪̺	Voiced obs with no voiceless eq.
JOMANG	talo1250	NA	d ɡ	Voiced obs with no voiceless eq.
Cayapa	chac1249	NA	ɡ	Has spirantizing plosives
!XU	juho1239	NA	ɦ	Voiced obs with no voiceless eq.
Kulango	boun1243	Bouna	ɡ	Has spirantizing plosives
Lagwan	lagw1237	NA	ʁ ʁʷ	Voiced obs with no voiceless eq.
Gamo	gamo1243	NA	d̠ʒ d̪ ɡ	Voiced obs with no voiceless eq.
Betta Kurumba	bett1235	NA	d̠ʒ	Voiced obs with no voiceless eq.
Samo de Toma	sout2844	NA	ɡʲ	Voiced obs with no voiceless eq.
Denya	deny1238	NA	b	Has spirantizing plosives
Portuguese (Brazilian)	port1283	São Paulo	z	Voiced obs with no voiceless eq.
Laz	lazz1240	Laz (Ardeşen)	d̪ ɡ	Voiced obs with no voiceless eq.
Linngithigh	leni1238	NA	ð ɣ	Voiced obs with no voiceless eq.
Ingush	ingu1240	NA	d̪ d̪ˤ zˤ ɡ ɡʲ ʁ ʒˤ	Voiced obs with no voiceless eq.
Guajajára	guaj1255		z	Voiced obs with no voiceless eq.
KABARDIAN	kaba1278	NA	d̪ ɡʲ ɡʷ ɦ	Voiced obs with no voiceless eq.
Runyankore	nyan1307	NA	b	Has spirantizing plosives
Bariai	bari1286	NA	b d ɡ	Has spirantizing plosives; Has both sonorous and voiceless allophone
Weh	wehh1238	NA	b	Has spirantizing plosives
Sherbro	sher1258	NA	ɡ	Has spirantizing plosives
Buol	buol1237	NA	d d̠ʒ	Voiced obs with no voiceless eq.
Tiba	gaaa1245	NA	d̠ʒ ɟ	Voiced obs with no voiceless eq.
Balti	balt1258	NA	ɮ	Voiced obs with no voiceless eq.
Ogh Awarrangg	kawa1290	NA	ð ɣ	Voiced obs with no voiceless eq.
Talasa	tumt1243	NA	d̪ d̪ː ɖ ɖː ɡ ɡː	Voiced obs with no voiceless eq.
Baima	baim1244	NA	ɦ	Voiced obs with no voiceless eq.
Suruahá	suru1263		d̠ʒ	Voiced obs with no voiceless eq.
Aghem	aghe1239	NA	d ɡ ɣ	Voiced obs with no voiceless eq.
USAN	usan1239	NA	ɡ	Voiced obs with no voiceless eq.
Vame	vame1236	NA	ɣʷ	Voiced obs with no voiceless eq.
Befang	befa1241	NA	ʒ	Voiced obs with no voiceless eq.
KUNIMAIPA	kuni1267	NA	d̪	Voiced obs with no voiceless eq.
Mbodomo	gbay1281	NA	ɡ	Has spirantizing plosives
Gimira	benc1235	Benchnon	ɡʷ	Voiced obs with no voiceless eq.
Shupamem	bamu1253	NA	b d d̠ʒ d̠ʒ	Has both sonorous and voiceless allophone; Has spirantizing plosives; Voiced obs with no voiceless eq.
KOTA	kota1263	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Bhili	bhil1251	NA	ɟ̤ʝ	Voiced obs with no voiceless eq.
AVAR	avar1256	NA	d̪|d ɡ ʕ̝	Voiced obs with no voiceless eq.
Ket	kett1243	NA	b ʝ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Ambele	ambe1247	NA	d̠ʒʷ ɡʲ	Voiced obs with no voiceless eq.
Adzera	adze1240	NA	d dz ɡ	Voiced obs with no voiceless eq.
Buli	buli1254	NA	ɡ	Has spirantizing plosives
Murle	murl1244	NA	z	Voiced obs with no voiceless eq.
IRAQW	iraq1241	NA	ʕ̝	Voiced obs with no voiceless eq.
Grebo	nort2810	NA	dz	Voiced obs with no voiceless eq.
French	stan1290	French (Parisian speaker)	ʁ	Voiced obs with no voiceless eq.
Agaw	qima1242	NA	b d	Has spirantizing plosives; Voiced obs with no voiceless eq.
Tukang Besi	tuka1248	Wanci, Kaledupa	d̠ʒ β	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
Ngishe	ngos1238	NA	ɡʱ	Voiced obs with no voiceless eq.
Skou	nucl1634	NA	b	Has spirantizing plosives
Nuer	nuer1246	NA	ɦ	Voiced obs with no voiceless eq.
Konni	konn1242	NA	b ɡ	Has spirantizing plosives
Arbore	arbo1245	NA	d̠ʒ d̠ʒː d̪ d̪ː ɡ ɡː	Voiced obs with no voiceless eq.
Chechen	chec1245	NA	z ʒ	Voiced obs with no voiceless eq.
Italian	ital1282	Standard Italian	ʒ	Voiced obs with no voiceless eq.
Furu	furu1242	NA	ʒ	Voiced obs with no voiceless eq.
Karen	sgaw1245	NA	ɦ	Voiced obs with no voiceless eq.
Tuvan	tuvi1240	Tuvan (Standard)	ɡ ɣ	Voiced obs with no voiceless eq.
Ndra'ngith	ndra1239	NA	ð	Voiced obs with no voiceless eq.
MARI	east2328	NA	ð	Voiced obs with no voiceless eq.
Twampa	uduk1239	NA	d̠ʒ	Voiced obs with no voiceless eq.
Hill Guang	cher1271	Gwa	d̪ ɡ	Voiced obs with no voiceless eq.
Assamese	assa1263	Eastern districts of Assam (North Eastern state of India); Jorhat	b	Has spirantizing plosives
Ga	gaaa1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
TIGAK	tiga1245	NA	ɮ	Voiced obs with no voiceless eq.
Dime	dime1235	NA	b	Has spirantizing plosives
Copi	copi1238	NA	d̤ɮ̤ ɦ̤	Voiced obs with no voiceless eq.
Kabiye	kabi1261	Somdina	d ɖ ɡ	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
Kusunda	kusu1250	NA	b dz ɡ ɢ	Has spirantizing plosives
Popoluca de Sayula	sayu1241	NA	ɡ	Voiced obs with no voiceless eq.
Shixing	shix1238	NA	z̩	Voiced obs with no voiceless eq.
Mocovi	moco1246	NA	d̠ʒ ʁ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Bakaka (Babong)	baka1273	Babong	ɡ	Voiced obs with no voiceless eq.
Kabardian	kaba1278	Kabardian (Turkish)	d ɡʲ ɡʷ	Voiced obs with no voiceless eq.
Ndonga (Kolonkadhi)	ndon1254	Kolonkadhi	dʲ	Voiced obs with no voiceless eq.
Basque	basq1248	NA	b d ɟ ɡ	Has spirantizing plosives
ITELMEN	itel1242	NA	ʝ	Voiced obs with no voiceless eq.
Gouro	guro1248	NA	dʲ	Voiced obs with no voiceless eq.
Wazirwola	cent1973	Wazirwola (North Wazīrī)	dz d̪ ɖ ɡ	Voiced obs with no voiceless eq.
Swedish	swed1254	Stockholm	ʝ	Voiced obs with no voiceless eq.
myene	myen1241	NA	ɡ	Has spirantizing plosives
Birifor	sout2790	NA	d	Has both sonorous and voiceless allophone
Coeur d''Alene'	coeu1236	NA	ʕ ʕʷ	Voiced obs with no voiceless eq.
Isaka	kris1246	NA	b	Has spirantizing plosives
Fuliiru	fuli1240	NA	d̠ʒ	Voiced obs with no voiceless eq.
Lele	lele1266	NA	d̠ʒ	Voiced obs with no voiceless eq.
Khasi	khas1269	NA	d̠ʒ	Voiced obs with no voiceless eq.
Danish	dani1285	NA	ʁ	Voiced obs with no voiceless eq.
Burushaski	buru1296	NA	d̠ʒ ɖʐ	Has spirantizing plosives
Iten	eten1239	NA	dʷʲ ɡʷ ɡʷʲ	Voiced obs with no voiceless eq.
EKARI	ekar1243	NA	ɡˡ	Voiced obs with no voiceless eq.
Karaim	kara1464	Karaim (Northwestern)	d dʲ ɡ ɡʲ	Voiced obs with no voiceless eq.
Spokan	spok1245	NA	k̰ʷ q̰ʷ t̠ʃ̰ ʕ ʕʷ ʕ̰ ʕ̰ʷ	Voiced obs with no voiceless eq.
IVATAN	ivat1242	NA	d	Voiced obs with no voiceless eq.
Mwotlap	motl1237	NA	ɣ	Voiced obs with no voiceless eq.
Kadugli (Kadugli)	katc1249	Kadugli	ɟː	Voiced obs with no voiceless eq.
Maay	maay1238	Lower Jubba	b d d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Mbay	mbay1241	NA	d̠ʒ	Voiced obs with no voiceless eq.
KEWA	east2516	NA	ɡ	Voiced obs with no voiceless eq.
Tadaksahak	tada1238	NA	zː	Voiced obs with no voiceless eq.
kwezo	kwes1244	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Waurá	waur1244		ʒ	Voiced obs with no voiceless eq.
Otomi	mezq1235	NA	b d ɡ	Has spirantizing plosives
English	stan1293	English (RP)	d ɡ	Voiced obs with no voiceless eq.
Igbo	nucl1417	Standard Igbo (can be seen as a fusion of aspects of central Igbo and Onitsha Igbo; cannot be localised in any particular region or area of Igboland)	b ɦ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Irish Gaelic	iris1253	NA	d ɡ ɡ̟	Voiced obs with no voiceless eq.
Tashlhiyt Berber	tach1250	NA	ʁ ʁʷ ʁʷː ʁː ʒˤː ʕ ʕː	Has both sonorous and voiceless allophone; Voiced obs with no voiceless eq.
Armenian	nucl1235	NA	ʐ͇	Has both sonorous and voiceless allophone
Chukchi	chuk1273	NA	ʐ͇	Voiced obs with no voiceless eq.
Samba Leko	samb1305	NA	d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
IATE	fuln1247	NA	ɦ	Voiced obs with no voiceless eq.
Buriat	russ1264	Buriat (Standard)	dʲ d̺ ɡʲ ɢ	Voiced obs with no voiceless eq.
Swahili	swah1253	NA	ʄ	Has spirantizing plosives
Jarawara	jama1261	Jarawara	ɟ	Voiced obs with no voiceless eq.
Awu Alaya	thay1248	NA	ð ɣ	Voiced obs with no voiceless eq.
DIEGUENO	kumi1248	NA	ɮ̪	Voiced obs with no voiceless eq.
Holoholo	holo1240	NA	d d̠ʒ ɡ	Has spirantizing plosives; Voiced obs with no voiceless eq.
Mingrelian	ming1252	Mingrelian (Senaki)	d̪ ɡ	Voiced obs with no voiceless eq.
Comox	como1259	NA	k̰ʷ q̰ʷ t̠ʃ̰	Voiced obs with no voiceless eq.
Nepali	nepa1254	Standard (eastern)	ɦ	Voiced obs with no voiceless eq.
Gunwinggu	gunw1252	NA	dʲ d̪ ɖ ɡ	Voiced obs with no voiceless eq.
BATS	bats1242	NA	d̠ʒ d̪ d̪z̪ ɡ ʕ̝	Voiced obs with no voiceless eq.
EWE	ewee1241	NA	d̪ ɡ	Voiced obs with no voiceless eq.
Atayal	atay1247	NA	ʒ	Voiced obs with no voiceless eq.
Jur mödö	jurm1239	NA	ɗʒ	Voiced obs with no voiceless eq.
Kpelle	libe1247	NA	ɡ̩ʷ	Voiced obs with no voiceless eq.
Israeli Hebrew	hebr1245	NA	ʁ	Voiced obs with no voiceless eq.
Rigwe	irig1241	NA	ðʲ ˀɡʷ	Voiced obs with no voiceless eq.
QUECHUA	sout2991	NA	ð	Voiced obs with no voiceless eq.
Bhele	bhel1238	NA	d̠ʒ	Voiced obs with no voiceless eq.
IRARUTU	irar1238	NA	ʝ	Voiced obs with no voiceless eq.
Koreguaje	kore1283		d̠ʒ	Voiced obs with no voiceless eq.
ARABIC	egyp1253	NA	d̠ʒ	Voiced obs with no voiceless eq.
Reunionnais	reun1238	NA	ʁ	Voiced obs with no voiceless eq.
Tukita	kara1474	NA	d d̠ʒ ɡ	Voiced obs with no voiceless eq.
Akha	akha1245	NA	d̠ʒ	Voiced obs with no voiceless eq.
Mocoví	moco1246		ʁ	Voiced obs with no voiceless eq.
XIAMEN	minn1241	NA	d̠ʒ	Voiced obs with no voiceless eq.
Aritinngithigh	arit1239	NA	ð	Voiced obs with no voiceless eq.
Kambera	kamb1299	NA	d̠ʒ	Voiced obs with no voiceless eq.
Muna	muna1247	NA	ʁ	Voiced obs with no voiceless eq.
Kuikúro-Kalapálo	kuik1246		dʲ	Voiced obs with no voiceless eq.
Kumyk	kumy1244	NA	ɡ ʁ ʕ	Voiced obs with no voiceless eq.
LUGBARA	lugb1240	NA	d̪̰	Voiced obs with no voiceless eq.
