Name	Code	Family	Area
Aari	aari1239	South Omotic	Africa
Abau	abau1245	Sepik	Papunesia
Abidji	abid1235	Atlantic-Congo	Africa
Abipon	abip1241	Guaicuruan	South America
Abkhazian	abkh1244	Abkhaz-Adyge	Eurasia
Abua	abua1244	Atlantic-Congo	Africa
Abujmaria	abuj1237	Dravidian	Eurasia
Abure	abur1243	Atlantic-Congo	Africa
Acatepec Me'phaa	acat1239	Otomanguean	North America
Achagua	acha1250	Arawakan	South America
Aché	ache1246	Tupian	South America
Acheron	ache1245	Narrow Talodi	Africa
Achinese	achi1257	Austronesian	Eurasia
Achuar-Shiwiar	achu1248	Chicham	South America
Achumawi	achu1247	Palaihnihan	North America
Acoli	acol1236	Nilotic	Africa
Adamawa Fulfulde	adam1253	Atlantic-Congo	Africa
Adang	adan1251	Timor-Alor-Pantar	Papunesia
Adangme	adan1247	Atlantic-Congo	Africa
Adioukrou	adio1239	Atlantic-Congo	Africa
Adnyamathanha	adny1235	Pama-Nyungan	Australia
Adyghe	adyg1241	Abkhaz-Adyge	Eurasia
Adzera	adze1240	Austronesian	Papunesia
Aewa	abis1238	isolate	South America
Afade	afad1236	Afro-Asiatic	Africa
Afar	afar1241	Afro-Asiatic	Africa
Afitti	afit1238	Nyimang	Africa
Afrikaans	afri1274	Indo-European	Africa
Aghem	aghe1239	Atlantic-Congo	Africa
Aghu Tharnggalu	aghu1254	Pama-Nyungan	Australia
Aguaruna	agua1253	Chicham	South America
Àhàn	ahan1244	Atlantic-Congo	Africa
Ahanta	ahan1243	Atlantic-Congo	Africa
Ahtena	ahte1237	Athabaskan-Eyak-Tlingit	North America
Aikanã	aika1237	isolate	South America
Aja (Benin)	ajab1235	Atlantic-Congo	Africa
Aja (Sudan)	ajas1235	Kresh-Aja	Africa
Ajumbu	mbuu1238	Atlantic-Congo	Africa
Ajyíninka Apurucayali	ajyi1238	Arawakan	South America
Akan	akan1250	Atlantic-Congo	Africa
Akaselem	akas1242	Atlantic-Congo	Africa
Akawaio	akaw1239	Cariban	South America
Akha	akha1245	Sino-Tibetan	Eurasia
Aklanon	akla1241	Austronesian	Papunesia
Akoose	akoo1248	Atlantic-Congo	Africa
Akpes	akpe1248	Atlantic-Congo	Africa
Akuntsu	akun1241	Tupian	South America
Akurio	akur1238	Cariban	South America
Alaba-K'abeena	alab1254	Afro-Asiatic	Africa
Alabama	alab1237	Muskogean	North America
Alamblak	alam1246	Sepik	Papunesia
Alawa	alaw1244	Mangarrayi-Maran	Australia
Aleut	aleu1260	Eskimo-Aleut	North America
Alladian	alla1248	Atlantic-Congo	Africa
Alngith	alng1239	Pama-Nyungan	Australia
Alutor	alut1245	Chukotko-Kamchatkan	Eurasia
Alyawarr	alya1239	Pama-Nyungan	Australia
Amahuaca	amah1246	Pano-Tacanan	South America
Amanab	aman1265	Border	Papunesia
Amarakaeri	amar1274	Harakmbut	South America
Ama (Sudan)	amas1236	Nyimang	Africa
Ambele	ambe1247	Atlantic-Congo	Africa
Ambonese Malay	ambo1250	Austronesian	Papunesia
Ambulas	ambu1247	Ndu	Papunesia
Amdo Tibetan	amdo1237	Sino-Tibetan	Eurasia
Amele	amel1241	Nuclear Trans New Guinea	Papunesia
Amharic	amha1245	Afro-Asiatic	Africa
Ami	amii1238	Western Daly	Australia
Amo	amoo1242	Atlantic-Congo	Africa
Amundava	amun1246	Tupian	South America
Amurdak	amar1271	Iwaidjan Proper	Australia
Andegerebinha	ande1247	Pama-Nyungan	Australia
Andi	andi1255	Nakh-Daghestanian	Eurasia
Andoa	ando1255	Zaparoan	South America
Andoque	ando1256	isolate	South America
Aneityum	anei1239	Austronesian	Papunesia
Anfillo	anfi1235	Ta-Ne-Omotic	Africa
Angaataha	anga1290	Angan	Papunesia
Angami Naga	anga1288	Sino-Tibetan	Eurasia
Angkamuthi	angg1238	Pama-Nyungan	Australia
Angolar	ango1258	Indo-European	Africa
Anguthimri	angu1242	Pama-Nyungan	Australia
Anii	anii1245	Atlantic-Congo	Africa
Anindilyakwa	anin1240	Gunwinyguan	Australia
Antakarinya	anta1253	Pama-Nyungan	Australia
Antigua and Barbuda Creole English	anti1245	Indo-European	North America
Anuak	anua1242	Nilotic	Africa
Anufo	anuf1239	Atlantic-Congo	Africa
Anyin	anyi1245	Atlantic-Congo	Africa
Anyin Morofo	anyi1244	Atlantic-Congo	Africa
Ao Naga	aona1235	Sino-Tibetan	Eurasia
Apalaí	apal1257	Cariban	South America
Apatani	apat1240	Sino-Tibetan	Eurasia
Apiaká	apia1248	Tupian	South America
Apinayé	apin1244	Nuclear-Macro-Je	South America
Aproumu Aizi	apro1235	Atlantic-Congo	Africa
A-Pucikwar	apuc1241	Great Andamanese	Eurasia
Apurinã	apur1254	Arawakan	South America
Arabana	arab1267	Pama-Nyungan	Australia
Arabela	arab1268	Zaparoan	South America
Aragonese	arag1245	Indo-European	Eurasia
Arandai	aran1237	South Bird's Head Family	Papunesia
Araona	arao1248	Pano-Tacanan	South America
Araweté	araw1273	Tupian	South America
Arbëreshë Albanian	arbe1236	Indo-European	Eurasia
Arbore	arbo1245	Afro-Asiatic	Africa
Archi	arch1244	Nakh-Daghestanian	Eurasia
Argobba	argo1244	Afro-Asiatic	Africa
Arhuaco	arhu1242	Chibchan	South America
Arikapú	arik1265	Nuclear-Macro-Je	South America
Aringa	arin1244	Central Sudanic	Africa
Aritinngitigh	arit1239	Pama-Nyungan	Australia
Asháninka	asha1243	Arawakan	South America
Ashe	ashe1269	Atlantic-Congo	Africa
Ashéninka Perené	ashe1272	Arawakan	South America
Assamese	assa1263	Indo-European	Eurasia
Asturian-Leonese-Cantabrian	astu1245	Indo-European	Eurasia
Atampaya	atam1239	Pama-Nyungan	Australia
Atayal	atay1247	Austronesian	Papunesia
Attié	atti1239	Atlantic-Congo	Africa
Au	auuu1241	Nuclear Torricelli	Papunesia
Avá-Canoeiro	avac1239	Tupian	South America
Avar	avar1256	Nakh-Daghestanian	Eurasia
Avatime	avat1244	Atlantic-Congo	Africa
Avikam	avik1243	Atlantic-Congo	Africa
Avokaya	avok1242	Central Sudanic	Africa
Awabakal	awab1243	Pama-Nyungan	Australia
Awa-Cuaiquer	awac1239	Barbacoan	South America
Awadhi	awad1243	Indo-European	Eurasia
Awara	awar1248	Nuclear Trans New Guinea	Papunesia
Awetí	awet1244	Tupian	South America
Awing	awin1248	Atlantic-Congo	Africa
Awiyaana	awiy1238	Nuclear Trans New Guinea	Papunesia
Awngi	awng1244	Afro-Asiatic	Africa
Awtuw	awtu1239	Sepik	Papunesia
Axi Yi	axiy1235	Sino-Tibetan	Eurasia
Ayacucho Quechua	ayac1239	Quechuan	South America
Ayere	ayer1245	Atlantic-Congo	Africa
Ayerrerenge	ayer1246	Pama-Nyungan	Australia
Ayoreo	ayor1240	Zamucoan	South America
Baangi	baan1242	Atlantic-Congo	Africa
Baatonum	baat1238	Atlantic-Congo	Africa
Baba	baba1264	Atlantic-Congo	Africa
Babanki	baba1266	Atlantic-Congo	Africa
Badaga	bada1257	Dravidian	Eurasia
Bade	bade1248	Afro-Asiatic	Africa
Badimaya	badi1246	Pama-Nyungan	Australia
Bafanji	bafa1249	Atlantic-Congo	Africa
Bafaw-Balong	bafa1247	Atlantic-Congo	Africa
Bafia	bafi1243	Atlantic-Congo	Africa
Bafut	bafu1246	Atlantic-Congo	Africa
Baga Koga	baga1273	Atlantic-Congo	Africa
Baga Sitemu	baga1272	Atlantic-Congo	Africa
Bagirmi	bagi1246	Central Sudanic	Africa
Baima	baim1244	Sino-Tibetan	Eurasia
Baka (Cameroon)	baka1272	Atlantic-Congo	Africa
Bakairí	baka1277	Cariban	South America
Bakaka	baka1273	Atlantic-Congo	Africa
Baka (Sudan)	baka1274	Central Sudanic	Africa
Bakhtiari	bakh1245	Indo-European	Eurasia
Bakoko	bako1249	Atlantic-Congo	Africa
Bakole	bako1250	Atlantic-Congo	Africa
Balanta-Ganja	bala1302	Atlantic-Congo	Africa
Balinese	bali1278	Austronesian	Papunesia
Balti	balt1258	Sino-Tibetan	Eurasia
Bambalang	bamb1265	Atlantic-Congo	Africa
Bambara	bamb1269	Mande	Africa
Bambassi	bamb1262	Blue Nile Mao	Africa
Bamenyam	bame1260	Atlantic-Congo	Africa
Bamun	bamu1253	Atlantic-Congo	Africa
Bamunka	bamu1256	Atlantic-Congo	Africa
Bana	bana1305	Afro-Asiatic	Africa
Banda Malay	band1353	Austronesian	Papunesia
Banda-Ndélé	band1345	Atlantic-Congo	Africa
Bandi	band1352	Mande	Africa
Bandjigali	band1337	Bookkeeping	Australia
Banggarla	bang1339	Pama-Nyungan	Australia
